article_id,article_version,related_num,r_ncd_id,r_ncd_version,last_updated
52481,30,1,208,1,2025-04-29 23:04:19.470000
52487,27,1,0,1,2025-04-29 23:04:19.470000
52487,30,1,0,1,2025-04-29 23:04:19.473000
52487,33,1,0,1,2025-04-29 23:04:19.477000
52489,24,1,190,1,2025-04-29 23:04:19.480000
52490,27,1,190,1,2025-04-29 23:04:19.480000
52492,20,1,0,1,2025-04-29 23:04:19.480000
52492,22,1,0,1,2025-04-29 23:04:19.480000
52494,59,1,0,1,2025-04-29 23:04:19.483000
52494,63,1,0,1,2025-04-29 23:04:19.483000
52495,18,1,229,1,2025-04-29 23:04:19.487000
52496,55,1,0,1,2025-04-29 23:04:19.490000
52496,57,1,0,1,2025-04-29 23:04:19.490000
52496,59,1,0,1,2025-04-29 23:04:19.490000
52496,61,1,0,1,2025-04-29 23:04:19.490000
52496,64,1,0,1,2025-04-29 23:04:19.490000
52497,35,1,190,1,2025-04-29 23:04:19.493000
52497,35,2,219,1,2025-04-29 23:04:19.493000
52498,57,1,190,1,2025-04-29 23:04:19.497000
52498,57,2,219,1,2025-04-29 23:04:19.497000
52498,57,3,376,1,2025-04-29 23:04:19.500000
52498,59,1,190,1,2025-04-29 23:04:19.497000
52498,59,2,219,1,2025-04-29 23:04:19.497000
52498,59,3,376,1,2025-04-29 23:04:19.500000
52498,61,1,190,1,2025-04-29 23:04:19.497000
52498,61,2,219,1,2025-04-29 23:04:19.497000
52498,61,3,376,1,2025-04-29 23:04:19.500000
52498,64,1,190,1,2025-04-29 23:04:19.497000
52498,64,2,219,1,2025-04-29 23:04:19.497000
52498,64,3,376,1,2025-04-29 23:04:19.500000
52499,23,1,136,1,2025-04-29 23:04:19.500000
52499,23,2,233,1,2025-04-29 23:04:19.503000
52500,42,1,0,1,2025-04-29 23:04:19.503000
52500,44,1,0,1,2025-04-29 23:04:19.507000
52500,46,1,0,1,2025-04-29 23:04:19.507000
52501,47,1,0,1,2025-04-29 23:04:19.507000
52502,20,1,190,1,2025-04-29 23:04:19.510000
52503,23,1,190,1,2025-04-29 23:04:19.510000
52503,23,2,219,1,2025-04-29 23:04:19.513000
52503,26,1,190,1,2025-04-29 23:04:19.510000
52503,26,2,219,1,2025-04-29 23:04:19.513000
52504,55,1,190,1,2025-04-29 23:04:19.530000
52504,55,2,219,1,2025-04-29 23:04:19.530000
52504,55,3,376,1,2025-04-29 23:04:19.533000
52504,59,1,190,1,2025-04-29 23:04:19.530000
52504,59,2,219,1,2025-04-29 23:04:19.530000
52504,59,3,376,1,2025-04-29 23:04:19.533000
52504,61,1,190,1,2025-04-29 23:04:19.530000
52504,61,2,219,1,2025-04-29 23:04:19.530000
52504,61,3,376,1,2025-04-29 23:04:19.533000
52505,74,1,190,1,2025-04-29 23:04:19.547000
52505,74,2,219,1,2025-04-29 23:04:19.547000
52505,77,1,190,1,2025-04-29 23:04:19.547000
52505,77,2,219,1,2025-04-29 23:04:19.547000
52505,80,1,190,1,2025-04-29 23:04:19.547000
52505,80,2,219,1,2025-04-29 23:04:19.547000
52507,139,1,223,1,2025-04-29 23:04:19.583000
52507,139,2,190,1,2025-04-29 23:04:19.583000
52507,143,1,223,1,2025-04-29 23:04:19.583000
52507,143,2,190,1,2025-04-29 23:04:19.583000
52507,146,1,223,1,2025-04-29 23:04:19.583000
52507,146,2,190,1,2025-04-29 23:04:19.583000
52507,151,1,223,1,2025-04-29 23:04:19.583000
52507,151,2,190,1,2025-04-29 23:04:19.583000
52507,156,1,223,1,2025-04-29 23:04:19.583000
52507,156,2,190,1,2025-04-29 23:04:19.583000
52508,39,1,190,1,2025-04-29 23:04:19.587000
52508,39,2,227,1,2025-04-29 23:04:19.590000
52509,65,1,0,1,2025-04-29 23:04:19.590000
52509,68,1,0,1,2025-04-29 23:04:19.590000
52509,73,1,0,1,2025-04-29 23:04:19.590000
52510,58,1,0,1,2025-04-29 23:04:19.593000
52510,61,1,0,1,2025-04-29 23:04:19.593000
52511,28,1,0,1,2025-04-29 23:04:19.593000
52512,46,1,0,1,2025-04-29 23:04:19.597000
52513,43,1,65,1,2025-04-29 23:04:19.597000
