article_id,article_version,hcpc_code_group,paragraph,last_updated
53052,48,1,"<p><strong><span style=""line-height: 115%;"">Note:</span></strong><span style=""line-height: 115%;""> CPT/HCPCS code G0153 must be used by Home Health agencies billing a 32x bill type. G0153 code is used to report 15-minute increments. All other CPT/HCPCS codes listed in this </span><span style=""line-height: 115%;"">article are for informational and descriptive use only.</span></p>",2025-08-19 18:16:46.157000
53053,14,1,,2022-05-12 13:18:15.087000
53055,13,1,,2019-04-04 21:20:46.710000
53056,15,1,,2024-11-27 17:20:58.890000
53057,67,1,,2026-02-04 14:14:58.877000
53058,65,1,<p>The following codes should be used by Physical Therapists</p>,2026-02-04 14:12:57.160000
53058,65,2,<p>Other CPT/HCPCS codes found in this policy are for informational and descriptive use only</p>,2026-02-04 14:12:57.237000
53060,48,1,,2025-08-14 12:47:17.163000
53064,87,1,,2026-02-04 14:07:04.790000
53065,76,1,,2026-02-04 14:09:20.810000
53084,28,1,,2025-09-23 11:39:33.467000
53095,28,1,,2024-09-05 14:24:28.900000
53101,46,1,,2024-08-29 13:10:23.803000
53104,32,1,,2022-01-18 13:18:14.163000
53105,22,1,,2019-10-16 21:55:24.107000
53106,16,1,,2017-12-14 21:28:42.490000
53134,84,1,<p>Note: Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>,2023-11-22 12:43:03.527000
53134,84,2,"<p><strong><span style=""line-height: 107%;"">The following CPT/HCPCS codes are Non-Covered.</span></strong></p>",2023-11-22 12:43:03.543000
53296,23,1,,2026-02-23 13:14:49.917000
53304,16,1,,2025-09-23 11:39:32.887000
53322,16,1,,2025-09-16 14:35:04.557000
53352,13,1,,2025-09-23 11:39:33.023000
53356,14,1,"<p><b> The following procedures, when used for sterilization to prevent reproduction, will be auto-denied due to the absence of a Medicare benefit category.<br><br><br></p>",2025-09-23 11:39:34.163000
53359,40,1,<p>Covered CPT/HCPCS Codes:</p>,2026-06-17 15:00:08.727000
53359,40,2,<p><strong>Ancillary Coding</strong></p>,2026-06-17 15:00:08.813000
53387,35,1,,2026-06-26 12:42:12.280000
53399,13,1,<p>Examples for use of CPT<sup>&reg;</sup> modifier 59:</p>,2019-11-07 15:59:39.827000
53423,16,1,,2019-09-30 14:29:56.313000
53435,11,1,,2023-01-11 18:34:32.433000
53441,10,1,,2019-09-26 17:30:03.880000
53444,14,1,,2023-01-10 20:56:52.930000
53446,6,1,,2018-01-31 21:12:55.907000
53472,18,1,,2019-12-03 21:10:27.220000
53480,14,1,,2019-10-15 14:36:38.463000
53482,13,1,,2019-10-24 00:19:10.990000
53484,18,1,,2026-05-04 13:10:02.670000
53488,11,1,,2019-10-02 12:44:20.687000
53495,11,1,,2024-11-12 14:59:57.377000
53497,15,1,,2023-01-11 13:47:04.450000
53497,15,2,,2023-01-11 13:47:04.457000
53531,22,1,,2024-09-09 13:22:00.780000
53531,22,2,"<p><p style=""line-height: 98%;""><span style=""line-height: 98%;"">The following should be reported for ABL1 Kinase Domain Mutation Analysis for the detection of acquired imatinib tyrosine kinase inhibitor resistance.</span></p></p>",2024-09-09 13:22:00.797000
53538,15,1,,2019-10-15 15:07:32.113000
53558,29,1,,2022-01-18 12:58:03.883000
53605,21,1,,2021-07-08 12:10:04.590000
53702,19,1,,2019-11-11 14:30:33.437000
53708,16,1,<p><strong>Following is a list of appropriate HCPCS Codes</strong><br /><br /><strong>Note</strong> L7510 should only be used to report the replacement of minor parts necessary for the functionality of the device that are not identified by another procedure code. Accessories or supplies should be reported under code L9900. Incorrect coding will result in denials.</p>,2019-10-30 14:47:41.223000
53773,20,1,,2024-01-12 15:56:27.940000
53775,34,1,,2025-01-07 15:40:50.350000
53778,14,1,,2019-09-25 21:21:37.700000
53781,17,1,,2024-01-11 16:38:49.450000
53784,15,1,,2020-08-12 19:50:20.290000
53793,38,1,"<p>Transwoman procedures (male to female)<br /><br />*NOTE: For Part A services only, the provider should bill the appropriate procedure code(s) for inpatient services.<br /><br />The following CPT<sup>&reg;</sup> codes will be considered when applicable criteria have been met:</p>",2026-01-27 16:35:59.960000
53793,38,2,"<p>Transman procedures (female to male)<br /><br />*NOTE: For Part A services only, the provider should bill the appropriate procedure code(s) for inpatient services.<br /><br />The following CPT<sup><span style=""font-size: small;"">&reg;</span></sup> codes will be considered when applicable criteria have been met:</p>",2026-01-27 16:35:59.997000
53793,38,3,"<p>All unlisted procedure codes will suspend for medical review.<br /><br />The following CPT<sup><span style=""font-size: small;"">&reg;</span></sup> codes are considered cosmetic. When billed with any Covered ICD-10 Codes listed below, the service will not be covered (list may not be all-inclusive):</p>",2026-01-27 16:36:00.073000
53883,26,1,<p><strong>Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>,2024-03-01 14:33:37.040000
53893,11,1,,2025-09-23 11:39:34.010000
53916,12,1,,2025-09-23 11:39:33.840000
53931,6,1,,2024-11-07 19:04:06.690000
53972,10,1,,2025-09-23 11:39:33.540000
53986,18,1,<p>The CPT/HCPCS code(s) may be subject to Correct Coding Initiative (CCI) edits. This advice in this article does not take precedence over CCI edits. Please refer to the CCI for correct coding guidelines and specific applicable code combinations prior to billing the A/B MAC.</p>,2024-12-04 18:18:01.130000
53988,20,1,,2024-12-04 17:54:47.940000
54018,33,1,,2023-07-21 17:08:27.440000
54021,26,1,,2024-05-24 15:25:57.813000
